regSPI_PS_INPUT_CNTL_24 reg:0xa1a9
regSPI_PS_INPUT_CNTL_25 reg:0xa1aa
regSPI_PS_INPUT_CNTL_26 reg:0xa1ab
regSPI_PS_INPUT_CNTL_27 reg:0xa1ac
regSPI_PS_INPUT_CNTL_28 reg:0xa1ad
regSPI_PS_INPUT_CNTL_29 reg:0xa1ae
regSPI_PS_INPUT_CNTL_30 reg:0xa1af
regSPI_PS_INPUT_CNTL_31 reg:0xa1b0
regSPI_VS_OUT_CONFIG reg:0xa1b1
regSPI_PS_INPUT_ENA reg:0xa1b3
regSPI_PS_INPUT_ADDR reg:0xa1b4
regSPI_INTERP_CONTROL_0 reg:0xa1b5
regSPI_PS_IN_CONTROL reg:0xa1b6
regSPI_BARYC_CNTL reg:0xa1b8
regSPI_TMPRING_SIZE reg:0xa1ba
regSPI_SHADER_POS_FORMAT reg:0xa1c3
regSPI_SHADER_Z_FORMAT reg:0xa1c4
regSPI_SHADER_COL_FORMAT reg:0xa1c5
regCB_BLEND0_CONTROL reg:0xa1e0
regCB_BLEND1_CONTROL reg:0xa1e1
regCB_BLEND2_CONTROL reg:0xa1e2
regCB_BLEND3_CONTROL reg:0xa1e3
regCB_BLEND4_CONTROL reg:0xa1e4
regCB_BLEND5_CONTROL reg:0xa1e5
regCB_BLEND6_CONTROL reg:0xa1e6
regCB_BLEND7_CONTROL reg:0xa1e7
regCB_MRT0_EPITCH reg:0xa1e8
regCB_MRT1_EPITCH reg:0xa1e9
regCB_MRT2_EPITCH reg:0xa1ea
regCB_MRT3_EPITCH reg:0xa1eb
regCB_MRT4_EPITCH reg:0xa1ec
regCB_MRT5_EPITCH reg:0xa1ed
regCB_MRT6_EPITCH reg:0xa1ee
regCB_MRT7_EPITCH reg:0xa1ef
regCS_COPY_STATE reg:0xa1f3
regGFX_COPY_STATE reg:0xa1f4
regPA_CL_POINT_X_RAD reg:0xa1f5
regPA_CL_POINT_Y_RAD reg:0xa1f6
regPA_CL_POINT_SIZE reg:0xa1f7
regPA_CL_POINT_CULL_RAD reg:0xa1f8
regVGT_DMA_BASE_HI reg:0xa1f9
regVGT_DMA_BASE reg:0xa1fa
regVGT_DRAW_INITIATOR reg:0xa1fc
regVGT_IMMED_DATA reg:0xa1fd
regVGT_EVENT_ADDRESS_REG reg:0xa1fe
regDB_DEPTH_CONTROL reg:0xa200
regDB_EQAA reg:0xa201
regCB_COLOR_CONTROL reg:0xa202
regDB_SHADER_CONTROL reg:0xa203
regPA_CL_CLIP_CNTL reg:0xa204
regPA_SU_SC_MODE_CNTL reg:0xa205
regPA_CL_VTE_CNTL reg:0xa206
regPA_CL_VS_OUT_CNTL reg:0xa207
regPA_CL_NANINF_CNTL reg:0xa208
regPA_SU_LINE_STIPPLE_CNTL reg:0xa209
regPA_SU_LINE_STIPPLE_SCALE reg:0xa20a
regPA_SU_PRIM_FILTER_CNTL reg:0xa20b
regPA_SU_SMALL_PRIM_FILTER_CNTL reg:0xa20c
regPA_CL_OBJPRIM_ID_CNTL reg:0xa20d
regPA_CL_NGG_CNTL reg:0xa20e
regPA_SU_OVER_RASTERIZATION_CNTL reg:0xa20f
regPA_STEREO_CNTL reg:0xa210
regPA_SU_POINT_SIZE reg:0xa280
